location_id,provider_id,provider_name,location_name,formatted_address,address_line_1,address_line_2,city,region,postcode,country,latitude,longitude,geocode_status,geocode_precision,geocode_provider,geocoded_at,venue_phone,venue_email,venue_website,event_count,active_event_count,event_names,active_event_ids,status,first_seen_at,last_seen_at
location-caravan-coffee-roasters-bedfb0cffca8,provider-caravan-coffee-roasters,Caravan Coffee Roasters,Lambworks Roastery Brewbar,"Lambworks Roastery Brewbar, North Road, London, N7 9DP",North Road,,London,,N7 9DP,UK,,,invalid_address,,,2026-04-18T07:00:17Z,,,,0,0,,,active,2026-03-15T08:34:56Z,2026-04-18T07:00:18Z
location-comptoir-bakery-cbbcfaf267c5,provider-comptoir-bakery,Comptoir Bakery,Comptoir Bakery School and Workshop,"Comptoir Bakery School and Workshop, 96 Druid Street, London, SE1 2HQ",96 Druid Street,,London,,SE1 2HQ,UK,,,invalid_address,,,2026-04-18T07:00:18Z,,,,0,0,,,active,2026-03-15T08:34:56Z,2026-04-18T07:00:18Z
